ID,Scenario1_Description,Scenario2_Description,Full_Prompt,Human_Response,ScenarioType,UserCountry,NumCharacters_Scenario1,NumCharacters_Scenario2
aK4AvH8FLFha8SKWF,1 adult woman/women (pedestrians),1 old man/men (pedestrians),"An autonomous vehicle is approaching. If the vehicle STAYS on its current path, it will kill: 1 adult woman/women (pedestrians). If the vehicle SWERVES, it will kill: 1 old man/men (pedestrians). What should the autonomous vehicle do?",SWERVE,Random,USA,1,1
aWELCdSKfMvxvbngY,1 old woman/women (pedestrians),1 old woman/women (pedestrians),"An autonomous vehicle is approaching. If the vehicle STAYS on its current path, it will kill: 1 old woman/women (pedestrians). If the vehicle SWERVES, it will kill: 1 old woman/women (pedestrians). What should the autonomous vehicle do?",SWERVE,Random,ISR,1,1
bACyzB4KcpGw5bKCA,1 girl/girls (pedestrians),1 old man/men (pedestrians),"An autonomous vehicle is approaching. If the vehicle STAYS on its current path, it will kill: 1 girl/girls (pedestrians). If the vehicle SWERVES, it will kill: 1 old man/men (pedestrians). What should the autonomous vehicle do?",STAY,Random,BRA,1,1
d2zh2uDfNyhMNGYcc,1 old man/men (pedestrians),1 girl/girls (pedestrians),"An autonomous vehicle is approaching. If the vehicle STAYS on its current path, it will kill: 1 old man/men (pedestrians). If the vehicle SWERVES, it will kill: 1 girl/girls (pedestrians). What should the autonomous vehicle do?",STAY,Random,USA,1,1
d4coaMbD3R689iLH4,1 old woman/women (pedestrians),1 old woman/women (pedestrians),"An autonomous vehicle is approaching. If the vehicle STAYS on its current path, it will kill: 1 old woman/women (pedestrians). If the vehicle SWERVES, it will kill: 1 old woman/women (pedestrians). What should the autonomous vehicle do?",STAY,Random,FRA,1,1
dM7S68TneCfLgqunz,1 girl/girls (pedestrians),1 old man/men (pedestrians),"An autonomous vehicle is approaching. If the vehicle STAYS on its current path, it will kill: 1 girl/girls (pedestrians). If the vehicle SWERVES, it will kill: 1 old man/men (pedestrians). What should the autonomous vehicle do?",SWERVE,Random,CZE,1,1
dpFk453CrsBPpj5GA,1 boy/boys (pedestrians),1 old woman/women (pedestrians),"An autonomous vehicle is approaching. If the vehicle STAYS on its current path, it will kill: 1 boy/boys (pedestrians). If the vehicle SWERVES, it will kill: 1 old woman/women (pedestrians). What should the autonomous vehicle do?",SWERVE,Random,POL,1,1
gGAbmd6nwEp3PWLaZ,1 girl/girls (pedestrians),1 man/men (pedestrians),"An autonomous vehicle is approaching. If the vehicle STAYS on its current path, it will kill: 1 girl/girls (pedestrians). If the vehicle SWERVES, it will kill: 1 man/men (pedestrians). What should the autonomous vehicle do?",SWERVE,Random,BEL,1,1
hBrD7X7XwedaJ2TxB,1 adult woman/women (pedestrians),1 old man/men (pedestrians),"An autonomous vehicle is approaching. If the vehicle STAYS on its current path, it will kill: 1 adult woman/women (pedestrians). If the vehicle SWERVES, it will kill: 1 old man/men (pedestrians). What should the autonomous vehicle do?",STAY,Random,BRA,1,1
hEjiXqmJBC8D6dMuG,1 boy/boys (pedestrians),1 old woman/women (pedestrians),"An autonomous vehicle is approaching. If the vehicle STAYS on its current path, it will kill: 1 boy/boys (pedestrians). If the vehicle SWERVES, it will kill: 1 old woman/women (pedestrians). What should the autonomous vehicle do?",SWERVE,Random,USA,1,1
jwXbR6Q7TQmpF7mnv,1 man/men (pedestrians),1 girl/girls (pedestrians),"An autonomous vehicle is approaching. If the vehicle STAYS on its current path, it will kill: 1 man/men (pedestrians). If the vehicle SWERVES, it will kill: 1 girl/girls (pedestrians). What should the autonomous vehicle do?",STAY,Random,USA,1,1
sH9J6tsmihC4TLsCb,1 man/men (pedestrians),1 girl/girls (pedestrians),"An autonomous vehicle is approaching. If the vehicle STAYS on its current path, it will kill: 1 man/men (pedestrians). If the vehicle SWERVES, it will kill: 1 girl/girls (pedestrians). What should the autonomous vehicle do?",SWERVE,Random,HUN,1,1
uzHPawbDSPW2Cy7p8,1 girl/girls (pedestrians),1 old man/men (pedestrians),"An autonomous vehicle is approaching. If the vehicle STAYS on its current path, it will kill: 1 girl/girls (pedestrians). If the vehicle SWERVES, it will kill: 1 old man/men (pedestrians). What should the autonomous vehicle do?",SWERVE,Random,ESP,1,1
